,representation_ratio,mean_pseudotime,std_pseudotime,sample_size
7MEP,1.1622710622710624,0.037509508430957794,0.015343792736530304,167.0
15Mo,1.2945054945054946,0.1824193149805069,0.016703180968761444,186.0
3Ery,1.7120879120879122,0.24863415956497192,0.03705919533967972,246.0
4Ery,0.863003663003663,0.24151448905467987,0.031198903918266296,124.0
2Ery,2.28974358974359,0.27076464891433716,0.02147386036813259,329.0
17Neu,0.15311355311355312,0.0547160841524601,0.012428225949406624,22.0
14Mo,2.595970695970696,0.15918077528476715,0.016845960170030594,373.0
13Baso,2.087912087912088,0.1423783153295517,0.025531675666570663,300.0
8Mk,0.4732600732600733,0.021309753879904747,0.01570064388215542,68.0
9GMP,0.4384615384615385,0.05131226405501366,0.020721212029457092,63.0
10GMP,1.0648351648351648,0.07407199591398239,0.02911815047264099,153.0
16Neu,1.1413919413919416,0.20129498839378357,0.017392519861459732,164.0
5Ery,1.252747252747253,0.20267146825790405,0.04462144151329994,180.0
1Ery,0.29926739926739926,0.30364271998405457,0.01674189791083336,43.0
6Ery,1.204029304029304,0.10842803120613098,0.049024797976017,173.0
19Lymph,0.21575091575091576,0.2736217975616455,0.058776773512363434,31.0
12Baso,0.48021978021978023,0.04229605570435524,0.018454978242516518,69.0
18Eos,0.06263736263736264,0.12397646903991699,0.025727659463882446,9.0
11DC,0.20879120879120883,0.8924123048782349,0.13404777646064758,30.0
